Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Puntuacion_TMDB;Temporadas;Episodios;URL_Externa
Be Passionately in Love;Be Passionately in Love;TMDB;2014;;https://image.tmdb.org/t/p/original/hNr9iQiDPRy97xTqm35zQFeYwRn.jpg;Drama;0.0;1;42;https://www.themoviedb.org/tv/245511
Be With You;Be With You;TMDB;2002;;;;0.0;1;146;https://www.themoviedb.org/tv/23801
Beautiful Days;Beautiful Days;TMDB;2001;;https://image.tmdb.org/t/p/original/ySn9mf1ZTijBgETPxIK3yioWFQA.jpg;Drama;7.2;1;24;https://www.themoviedb.org/tv/14175
Beautiful Man;Beautiful Man;TMDB;2013;"Dok Go Ma Tae (Jang Geun Suk) es el hombre \""más bello del mundo\"" y también uno muy ambicioso. Él desea hacer un montón de dinero utilizando su aspecto hermoso. Yoon Yu Ra (Han Chae Young), la ex-nuera de una familia rica, se involucra intencionalmente con Dok Go Ma Tae, para proteger a su hija, de la que la separaron. Para esto, Hong Yu Ra utiliza a Dok Go Ma Tae, y él, amenazado con no revelarle el \""código\"" que su madre creó para su felicidad antes de morir, la obedece. Yoon Yu Ra reconoce las ambiciones de Dok Go Ma Tae y se convierte en su mentor. Yoon Yu Ra luego da a Dok Go Ma Tae la de misión seducir a 10 mujeres diferentes que han tenido éxito en diferentes campos, y es cuando una mujer especial entonces aparecerá delante de Dok Go Ma Tae; su nombre es Kim Bo Tong (IU), una chica normal de origen humilde, ordinaria y adorable que se enamoró a primera vista de Dok Go Ma Tae desde la escuela media y continuará enamorada de él durante los últimos 10 años, todo lo que hace es para él, y va a hacer todo lo que pueda para proteger su amor con su personalidad.";https://image.tmdb.org/t/p/original/v62mZ1sqD7E8ZqakF1iILhK7I22.jpg;Comedia, Drama;5.1;1;16;https://www.themoviedb.org/tv/61136
Besos Kitty;Besos Kitty;TMDB;2023;Los dictados del corazón la llevan a un instituto elitista de Seúl y la joven celestina Kitty se da cuenta de que la vida, el amor y la familia son más complicados de lo que creía.;https://image.tmdb.org/t/p/original/3y3uLS6HV3IJebjXHnd9K640F3Q.jpg;Comedia, Drama;8.1;3;26;https://www.themoviedb.org/tv/195670
Beyond the Bar;Beyond the Bar;TMDB;2025;Un abogado joven y novato con un fuerte sentido de la justicia se une a un bufete de abogados de primer nivel, navegando por el complejo mundo legal bajo un mentor frío y exigente.;https://image.tmdb.org/t/p/original/y9Hs78ZgAxlTH6bitgPv9uPDITE.jpg;Drama;8.1;2;12;https://www.themoviedb.org/tv/281004
Big Mouth;Big Mouth;TMDB;2022;Un abogado con un 10?% de tasa de victorias acaba envuelto en un caso de asesinato y se convierte, de la noche a la ma�ana, en el famoso y brillante estafador Big Mouse. Para poder sobrevivir y proteger a su familia, intenta demostrar c�mo son realmente las personas privilegiadas que est�n implicadas en una enorme conspiraci�n.;https://www.themoviedb.org/t/p/w1280/8a50yUe9q3dlpNPK7AHLFE8Fkc0.jpg;Comedia, Animación;8.3;1;16;https://www.themoviedb.org/tv/155226
Birth of a Beauty;Birth of a Beauty;TMDB;2014;"Sa Geum Ran es una mujer con sobre peso quien luego de descubrir las  verdaderas intenciones de su esposo y sufrir un accidente que la declara  como fallecida, decide cambiar por completo su apariencia a través de  varios procedimientos quirúrgicos, y volver como la hermosa Sara para  cobrar venganza.   Han Tae Hee es el heredero de una gran empresa quien sufre del  ""síndrome del corazón roto"" debido a un trauma psicológico de su niñez.  El ayudará a Sara en su venganza con la única intensión de conseguir a  la mujer que ama. Sin embargo, sus sentimientos irán cambiando mientras  ambos pasan más tiempo juntos, pero deberá descubrir si a quien en  realidad el ahora quiere es a la hermosa Sara o a la antigua Sa Geum Ra.";https://image.tmdb.org/t/p/original/t3CT6YyWMlCLyHjfwb1zn3MX3Tz.jpg;Comedia;7.4;1;21;https://www.themoviedb.org/tv/61606
Black;Black;TMDB;2011;Las historias más retorcidas pueblan esta alucinante serie antológica que muestra los peores rasgos de la humanidad, sus mayores innovaciones y mucho más.;https://image.tmdb.org/t/p/original/6nDRo824oyBwg1prOZHc8UtonVB.jpg;Ciencia ficción, Drama, Misterio;8.287;7;33;https://www.themoviedb.org/tv/42009
Blood;Blood;TMDB;2005;Saya es una estudiante que lleva una vida tranquila con su familia, con una excepción: ella no recuerda nada acerca de su vida anterior al último año. Un día, un inesperado evento transforma su pacífica vida en una aventura caótica. Un apuesto músico que viste de negro se aparece ante ella, su nombre es Haji. En el momento en que pone en sus manos una katana, la historia comienza un nuevo curso.;https://image.tmdb.org/t/p/original/7IVCA6xcEYT0OwsyyD5q5pvBnKK.jpg;Animación, Ciencia ficción, Acción;8.091;1;50;https://www.themoviedb.org/tv/19849
Bon Appétit, Your Majesty;Bon Appétit, Your Majesty;TMDB;2025;Una chef de talento viaja en el tiempo y conoce a un rey tiránico. Con sus platos modernos, logra cautivar su paladar, pero le esperan desafíos muy reales.;https://image.tmdb.org/t/p/original/kqFofZ0hOQ7Y3VUQQ59lpHaCJpM.jpg;Drama, Ciencia ficción;8.639;1;12;https://www.themoviedb.org/tv/280945
Branding in Seongsu;Branding in Seongsu;TMDB;2024;Un implacable ejecutivo de marketing y una becaria de buen corazón siempre están en desacuerdo, pero todo da un giro salvaje cuando sus almas cambian después de un beso inesperado.;https://image.tmdb.org/t/p/original/hRC3Dutd9Pmmh1YUOlAsKiJyM2m.jpg;Drama;7.789;1;24;https://www.themoviedb.org/tv/230824
Bring It On, Ghost;Bring It On, Ghost;TMDB;2016;"Kim Hyun Ji estudió durante sus 19 años de vida sin parar, hasta que fue víctima de un accidente automovilístico .Ella ahora es un fantasma que vaga sin rumbo por 5 años; hasta que conoce a Park Bong Pal, un exorcista que ve fantasmas y los ayuda a pasar al otro lado.";https://image.tmdb.org/t/p/original/ssP1dDagt0k4CAoTfyd2AZJVyP2.jpg;Drama, Misterio, Ciencia ficción;7.896;1;16;https://www.themoviedb.org/tv/66393
Buried Hearts;Buried Hearts;TMDB;2025;;https://image.tmdb.org/t/p/original/fFw298VFaDKJ28Zo8MtvaGaEfxL.jpg;Crimen, Misterio, Drama;8.204;1;16;https://www.themoviedb.org/tv/271309
Business Proposal;Business Proposal;TMDB;2023;;https://image.tmdb.org/t/p/original/yLkn1c4GdvZJbE2weClGRhf0kYJ.jpg;Drama;4.0;1;15;https://www.themoviedb.org/tv/237535
Catch The Ghost;Catch The Ghost;TMDB;2019;«¡Salen trenes todo el día! Nuestras estaciones de metro están más llenas que las propias calles». ¡Es el modo de transporte favorito del ciudadano de a pie! La policía del metro tiene una misión: atrapar al asesino en serie conocido como el Fantasma del metro. Un dúo poco tradicional se junta para resolver el caso del Fantasma del metro.;https://image.tmdb.org/t/p/original/vx7KdFWammzyE5D14ys23cSG2Zu.jpg;Comedia, Crimen, Misterio;7.6;1;16;https://www.themoviedb.org/tv/94615
Celebrity;Celebrity;TMDB;2008;;https://image.tmdb.org/t/p/original/5wnYgf4qu8gXmPP9KherAbt2iTD.jpg;Comedia, Talk Show;6.6;26;299;https://www.themoviedb.org/tv/6000
Cheat on Me if You Can;Cheat on Me if You Can;TMDB;2020;;https://image.tmdb.org/t/p/original/v93k21FJJqCYb3qKfxt9Gvbv21M.jpg;Comedia, Misterio;6.9;1;16;https://www.themoviedb.org/tv/112706
City Hunter;City Hunter;TMDB;1987;City Hunter es como conocen en el mundo al detective privado Ryo Saeba, el cuál es admirado y odiado, por ser el mejor pistolero del mundo. Este, acepta encargos de personas de muy diferentes rangos sociales. En ellos siempre se ve enfrentado contra gángster o contra otros pistoleros que desean matarlo para ganar popularidad. Entre tanto, transcurre la historia de amor entre Ryo y Kaori.  La empresa de detectives la lleva junto con la hermana del que fue su primer compañero, Makimura. Pues, cuando él fue asesinado, pidió a Ryo que cuidase de Kaori y ella, al enterarse de la muerte de su hermano, decidió hacerse socia de Ryo. Ella es la encargada de reunirse con los clientes y aceptar los diferentes pedidos.;https://image.tmdb.org/t/p/original/2X6YyoDyYdhoFDyfTUelpDTlTfJ.jpg;Acción, Animación, Comedia, Misterio;7.9;4;140;https://www.themoviedb.org/tv/36046
Clean With Passion For Now;Clean With Passion For Now;TMDB;2018;Jang Sun Kyul, es el propietario de una gran compañía de limpieza, y argumenta que es su vocación de por vida. Si bien parece increíblemente perfecto con su buena apariencia y riqueza, sufre de severa misofobia hasta el punto de que no solo se niega a tocar a otras personas, sino que tampoco puede soportar una sola mota de polvo en su entorno. Su vida se pone patas arriba con la aparición de Gil Oh Sol, alguien que ha renunciado a la limpieza frente a su dura realidad.;https://image.tmdb.org/t/p/original/jyHHFaV0B22L2xKNJ0j1F2RZuH7.jpg;Comedia, Drama;7.4;1;16;https://www.themoviedb.org/tv/78869
Come and Hug Me;Come and Hug Me;TMDB;2018;Cuando Do Jin (Jang Ki Yong) y Jae Yi (Jin Ki Joo) eran estudiantes de secundaria, eran el primer amor de cada uno. El padre de Do Jin, Hee Jae (Heo Joon Ho) era un psicópata que asesinó a los padres de Jae Yi.  Ahora, Do Jin trabaja como detective. Él trata a la familia de la víctima con cuidado. Esta es su manera de expiar el horrible acto de su padre. Mientras tanto, Jae Yi trabaja como actriz. Siguió los pasos de su difunta madre, que era una actriz famosa. Desde la muerte de sus padres, Jae Yi ha sufrido un trastorno por estrés postraumático. Do Jin y Jae Yi se encuentran nuevamente.;https://image.tmdb.org/t/p/original/63zg7dGRGdRgctJcl4jbtmIWcQ7.jpg;Drama, Misterio;7.016;1;32;https://www.themoviedb.org/tv/79238
Crash Landing on You;Crash Landing on You;TMDB;2019;Tras un percance con el parapente, una rica heredera surcoreana aterriza en Corea del Norte y en la vida de un oficial del ejército, que la ayudará a esconderse.;https://image.tmdb.org/t/p/original/a6Z73Ou52jHSrelffGK04GyVhtd.jpg;Drama, Comedia;8.536;1;16;https://www.themoviedb.org/tv/94796
Cruel Romance;Cruel Romance;TMDB;2015;En 1930, Rong Jinxiu (Chen Qiao En) una chica de campo que viaja a  Shanghai con el fin de descubrir por qué toda su familia fue asesinada.  En el camino, conoce a Zuo Zhen (Huang Xiao Ming), y luego de una serie  de accidentes y malentendidos, se enamoran. Pero Zuo Zhen deberá  competir contra su amigo Xiang Ying Dong por el amor de Jin Xiu.;https://image.tmdb.org/t/p/original/tqXhbvlc7NpaTYSMaYwwj6r6yZe.jpg;Drama;7.0;1;40;https://www.themoviedb.org/tv/62548
Daily Dose of Sunshine;Daily Dose of Sunshine;TMDB;2023;Una bondadosa enfermera que trabaja en psiquiatría hace todo lo posible para ofrecerles una dosis de esperanza a sus pacientes a pesar de los retos a los que se enfrenta.;https://image.tmdb.org/t/p/original/eyAwSSZ1Io21PivjYM0gsOv0ACx.jpg;Drama;8.242;1;12;https://www.themoviedb.org/tv/205319
Dear X;Dear X;TMDB;2025;Cuando Baek Ah Jin era pequeña, sufrió violencia doméstica. Para sobrevivir, aprendió a ocultar sus emociones y a manipular a los demás viendo dentro de sus corazones. Normalmente es generosa y amable con la gente, pero revela su lado diabólico si alguien la enoja o para sus propios fines. Ahora es una actriz de primer nivel. Ella tiene a Yoon Joon Seo, quien ha estado a su lado toda su vida y está dispuesto a hacer cualquier cosa por ella. Él es el único en quien puede confiar y con quien puede sentirse cómoda, pero, por Baek Ah Jin, decide provocar su caída. Mientras tanto, Kim Jae Oh también es un hombre que ha estado al lado de Baek Ah Jin toda su vida. Sufrió abusos por parte de su padre y sintió una conexión con Baek Ah Jin. A través de ella, encontró una razón para vivir. Re Na es una actriz de renombre que siente algo por Yoon Joon Seo.;https://image.tmdb.org/t/p/original/9eTQfA8lC4027DrG0PBvEBVRKuM.jpg;Drama, Crimen;8.4;1;12;https://www.themoviedb.org/tv/256226
Destined with you;Destined with you;TMDB;2023;Un abogado víctima de una maldición ancestral conoce a una funcionaria que posee la llave de su libertad... y acaba viviendo una inesperada historia de amor con ella.;https://image.tmdb.org/t/p/original/zeT47uOYH8IEtImcAuI3FtGYq1l.jpg;Drama, Ciencia ficción, Comedia;8.1;1;16;https://www.themoviedb.org/tv/215001
Devilish Joy;Devilish Joy;TMDB;2018;"El drama cuenta la historia de un genio médico llamado Gong Ma Sung (Choi Jin Hyuk) que padece el ""Cinderella Memory Disorder"" y se enamora de la ex actriz popular Joo Ki Bbeum (Song Ha Yoon). Gong Ma Sung es un sucesor de Sunwoo Company y es un experto en el campo de los nervios craneales. Un día, mientras intenta ayudar a una mujer con la que se encuentra, tiene un accidente automovilístico. Gong Ma Sung sufre de pérdida de memoria a corto plazo después del accidente automovilístico y su memoria dura solo un día. Alguna vez, escribe notas sobre lo que le sucedió ese día. A la mañana siguiente, memoriza las notas escritas que escribió la noche anterior. Gong Ma Sung se encuentra con Joo Gi Bbeum quien solía ser una actriz popular pero ya no lo es, ellos terminan enamorandose.";https://image.tmdb.org/t/p/original/isgfWj29hQ2AO9J9DA3CDckKKWl.jpg;Comedia, Drama, Ciencia ficción;7.9;1;16;https://www.themoviedb.org/tv/82102
Dhevaprom- Kwanruetai;Dhevaprom- Kwanruetai;TMDB;2024;Ha pasado más de una década desde que se emitió por primera vez Suparburoot Juthathep. Ahora, es el momento de que la próxima generación siga sus corazones y encuentre a sus parejas.;https://image.tmdb.org/t/p/original/wtTjfnK4OYphmzzRuTXIo4owoHz.jpg;Drama, Telenovela;7.9;5;77;https://www.themoviedb.org/tv/237952
Doctor Lawyer;Doctor Lawyer;TMDB;2022;La conmovedora historia de un cirujano experto que se convierte en abogado especializado en causas médicas tras perder a un paciente por una mala praxis en una operación. Este drama médico y jurídico, catártico y lleno de suspense, expone la sala del tribunal como si fuera un quirófano en el que puede acabar la vida o incluso volver a empezar.;https://image.tmdb.org/t/p/original/egQYuDW83UgfkPNZLQUO2adTbd2.jpg;Crimen, Drama;7.3;1;16;https://www.themoviedb.org/tv/196906
Doctor Slump;Doctor Slump;TMDB;1981;Dr. Slump narra las aventuras del profesor Sembei Norimaki y de su creación, un robot humanoide con forma de niña de 13 años llamada Arale Norimaki, quien carece de sentido común y cuenta con una fuerza extraordinaria. La mayoría de las historias transcurren en Villa Pingüino, donde ninguno de sus habitantes sabe que Arale es, en realidad, un robot. La serie está llena de personajes de todo tipo, desde bebés prehistóricos alados hasta un cerdo de habla inglesa.;https://image.tmdb.org/t/p/original/7870v4GhTv5HrWsJEDACRgNXzWv.jpg;Animación, Comedia, Ciencia ficción;7.929;1;243;https://www.themoviedb.org/tv/37567
Doctor Stranger;Doctor Stranger;TMDB;2014;"Park Hoon es un joven que es secuestrado junto a su padre para ser  llevados a Corea del Norte. Él crece en dicho país y se enamora de Song  Jae Hee.Estudia hasta convertirse en un cardíologo. Después de perder a  su amada es llevado a Corea del Sur.Apesar de eso,cae en numerosas  ocaciones a prision por querer entrar a Corea del Norte y encontrar a su  amada Jae Hee. A pesar de ser un doctor genio y trabajar para uno de  los mejores hospitales de Corea del Sur, no es capaz de ser catalogado  como un médico oficial porque es un ""desertor"".  Tiempo despues Park Hoon es aceptado en el hospital. Con la  finalidad de traer a su primer amor Song Jae Hee de Corea del Norte,  hace cualquier cosa para ganar dinero. Por otro lado esta Oh Soo Hyun,  hija ilegitima del director del Hospital, que tiene una relación  complicada con Han Jae Joon, el médico estrella de este y graduado de  Harvard, que guarda un oscuro secreto de venganza; obstinada a luchar  por lo que quiere y por ser reconocida como médico, conoce a Park Hoon.  Es entonces cuando Park Hoon conoce a una anestesiologa llamada Han  Seung Hee, que posee la misma cara que Song Jae Hee, pero que tiene una  misteriosa identidad.";https://image.tmdb.org/t/p/original/o7BzLNlylCqFSYrON6dILbFBdRC.jpg;Drama, Crimen;8.069;1;20;https://www.themoviedb.org/tv/60956
Doom at your Service;Doom at your Service;TMDB;2021;[Doom at Your Service] Dong Kyung ha estado trabajando duro desde que sus padres fallecieron. Su vida parece estabilizarse tras trabajar como editora de novelas web durante 6 años, pero un día le diagnostican un cáncer cerebral. Ella culpa a su desafortunada vida y desea maldecir todo para que desaparezca, lo que involuntariamente hace aparecer a Myul Mang, un mensajero entre los humanos y los dioses. Él dice que puede concederle sus deseos. Como última esperanza, hace un contrato con Myul Mang por cien días para vivir como ella quiera, arriesgándolo todo.;https://image.tmdb.org/t/p/original/aDlBM1flPwBxQykQaaGy2JjNsk2.jpg;Drama, Ciencia ficción, Comedia;7.893;1;16;https://www.themoviedb.org/tv/116386
Doona!;Doona!;TMDB;2023;Un universitario hace frente a la vida y los estudios mientras lidia con una situación única: su compañera de casa es una antigua (y atractiva) estrella del K-pop.;https://image.tmdb.org/t/p/original/7pMuQAEnnDDVRGWrAwW07ySWQbu.jpg;Drama;7.652;1;9;https://www.themoviedb.org/tv/194797
Dynamite Kiss;Dynamite Kiss;TMDB;2025;Una apasionada historia de amor en Jeju termina de forma repentina... hasta que el destino vuelve a juntar a un heredero y a una joven que entra en su empresa fingiendo estar casada y ser madre para poder conseguir el empleo.;https://image.tmdb.org/t/p/original/md4ELajKsSVawFj9WvEaTaY5y2y.jpg;Drama, Comedia;8.188;1;14;https://www.themoviedb.org/tv/281013
El Afecto del Rey;El Afecto del Rey;TMDB;2021;La esposa del Príncipe Heredero dio a luz a gemelos, pero los gemelos se consideran un signo de mal agüero. Se suponía que iban a matar a la hija gemela, pero su madre le salva la vida haciéndola pasar por muerta y en secreto la envía fuera del palacio. Unos años más tarde, el hijo gemelo Lee Hwi muere. La esposa del Príncipe Heredero oculta este hecho y trae a su hija gemela de regreso al palacio para que finja ser el Príncipe. Lee Hwi finalmente crece y se convierte en el Príncipe Heredero, pero teme que se revele su verdadera identidad. Debido a su secreto, Lee Hwi no puede tener a nadie cerca de ella. Oculta sus emociones a los demás y hace comentarios mordaces.  Jung Ji Woon es el maestro del Príncipe Heredero. Proviene de una familia noble, es guapo, inteligente y optimista que disfruta de la vida. Poco a poco Lee Hwi empieza a desarrollar sentimientos por él.;https://image.tmdb.org/t/p/original/11zesPrRj06jiAx1lIVcg5ykQH5.jpg;Drama;8.118;1;20;https://www.themoviedb.org/tv/129478
El amor es como el Chachacha;El amor es como el Chachacha;TMDB;2021;Una dentista deja la gran ciudad para abrir un consultorio en un pequeño pueblo costero donde conoce a un hombre encantador que es, en todo sentido, lo opuesto a ella.;https://image.tmdb.org/t/p/original/arj9P7Sy1xNO4RmRCz7RsBmKSS7.jpg;Comedia, Drama;8.2;1;16;https://www.themoviedb.org/tv/128883
El Monstruo de la Vieja Seúl;El Monstruo de la Vieja Seúl;TMDB;2023;En la primavera de 1945, una época lúgubre y siniestra, un hombre y una mujer luchan por sobrevivir mientras se enfrentan a monstruos nacidos de la avaricia humana.;https://image.tmdb.org/t/p/original/z5ZF5FHNErAle3Kq8kv8eQCC3aR.jpg;Ciencia ficción, Misterio, Acción, Drama;7.929;2;17;https://www.themoviedb.org/tv/135238
Encounter;Encounter;TMDB;2016;;https://image.tmdb.org/t/p/original/nTF3DCEMzHA7ACDSgeB9nv8N2GJ.jpg;Drama;9.7;2;16;https://www.themoviedb.org/tv/217467
Extraordinary Attorney Woo (Woo, Una Abogada Extraordinaria);Extraordinary Attorney Woo (Woo, Una Abogada Extraordinaria);TMDB;2022;Woo Young-woo, una brillante abogada con autismo, lidia con los retos que le plantean la vida cotidiana y los tribunales cuando se incorpora a un importante bufete.;https://image.tmdb.org/t/p/original/u81ZZJ1hQdyNtF1NsxmhQVDj6xK.jpg;Drama;8.482;1;16;https://www.themoviedb.org/tv/197067
Extraordinary You;Extraordinary You;TMDB;2015;;https://image.tmdb.org/t/p/original/pT6zWEElSZ3nyrsaYbakK0Jlymk.jpg;Documental;9.0;1;3;https://www.themoviedb.org/tv/78429
F4;F5;TMDB;2021;Gorya es una chica de clase baja aceptada en una prestigiosa universidad a la que asisten los ricos. La escuela está gobernada por una camarilla de élite conocida como F4, que consta de 4 niños ricos, guapos y mimados. Gorya es el único que hace frente a sus formas de intimidación, dejando a todos los chicos asombrados, especialmente a Thyme, el líder del grupo. Golpeado casi al instante por Gorya, Thyme la persigue románticamente, pero ella no tiene ningún interés en él debido a las primeras impresiones. Luego se enamora de su mejor amigo Ren, pero Ren está enamorado de su amor de la infancia. En todo el caos de la escuela, Gorya no puede evitar enamorarse de Thyme debido a su generosidad con ella y su familia, y su cambio de carácter.;https://image.tmdb.org/t/p/original/rGnclQf6n51Z7p6xeQRYNcsZVQ4.jpg;Comedia, Drama;8.732;1;16;https://www.themoviedb.org/tv/153378
Falling for Innocence;Falling for Innocence;TMDB;2015;¿Podría tu personalidad y perspectiva de la vida cambiar después de recibir un nuevo corazón?  Kang Min Ho pasó por un momento difícil cuando su padre murió  repentinamente y su tio le arrebata la compañía. Crece y se convierte en  un hombre de negocios frio y calculador, determinado en recuperar la  empresa.  Poco tiempo después de iniciado sus planes, se somete a un  trasplante de corazón. Con un nuevo corazón, él empezará a sentir  cambios en su personalidad, además de que empieza a enamorarse de una  joven que hará que su mundo cambie de repente.  Una divertida comedia que hará que reflexiones sobre la importancia de la vida.;https://image.tmdb.org/t/p/original/lKaQpKlaynFf7QQMAR3Ut6Id6t.jpg;Drama, Romance, Comedia;7.7;1;16;https://www.themoviedb.org/tv/62267
Falling into You;Falling into You;TMDB;2021;Una jugadora de deportes electrónicos no se distraerá con algo tan trivial como el amor mientras se esfuerza por alcanzar sus sueños. Es reclutada para unirse a un equipo de deportes electrónicos profesional donde conoce al encantador Lu Si Cheng. Tong Yao ingresó al mundo de los deportes electrónicos a través de sus formidables habilidades que le han permitido convertirse en la primera jugadora en la historia de los juegos de deportes electrónicos en China. Ella se une a un equipo dirigido por Lu Si Cheng. Es el apuesto, rico y capaz capitán de un equipo deportivo profesional con una lengua un poco afilada. Incluso cuando se enfrenta a la discriminación debido a su género, Tong Yao supera las dificultades con el apoyo de sus nuevos compañeros de equipo en su intento por estar en el escenario mundial para compensar una lamentable pérdida hace seis años.;https://image.tmdb.org/t/p/original/tQgfnSp7qroFOvTjUz7k8Namj5Q.jpg;Comedia, Drama;7.885;1;31;https://www.themoviedb.org/tv/95486
