Titulo;Anio;Sinopsis;Link_Imagen;Generos;Puntuacion_IMDb;Desarrolladores;Editores;Metascore;URL_Slug
Batman: Arkham VR;2016.0;Batman: Arkham VR te sumerge en el universo del Caballero Oscuro mediante realidad virtual. Ponte el traje de Batman, investiga escenas del crimen y enfrenta a los villanos más peligrosos de Gotham en esta exclusiva experiencia VR.;https://media.rawg.io/media/games/ce4/ce4b8dac56df7e0b20052033bf207372.jpg;Action, Adventure, Simulation;3.85;Warner Bros. Interactive, Rocksteady Studios;Warner Bros. Interactive;74.0;batman-arkham-vr
Batman: Arkham Origins;2013.0;Una precuela ambientada años antes de Arkham Asylum. Un Batman más joven e inexperto se enfrenta a ocho asesinos mortales contratados por Black Mask en Nochebuena, en una caza a lo largo y ancho de la ciudad que definirá sus primeros años.;https://media.rawg.io/media/games/fc3/fc30790a3b3c738d7a271b02c1e26dc2.jpg;Action;3.95;Warner Bros. Interactive, Splash Damage;Warner Bros. Interactive;74.0;batman-arkham-origins
Battlefield 1;2016.0;Battlefield 1 es un shooter en primera persona ambientado durante la Primera Guerra Mundial. Vive el caos de la Gran Guerra a través de varias historias individuales y enormes batallas multijugador con combate terrestre, aéreo y naval.;https://media.rawg.io/media/games/998/9980c4296f311d8bcc5b451ca51e4fe1.jpg;Action, Shooter;3.84;Electronic Arts, Electronic Arts DICE;Electronic Arts;88.0;battlefield-1
Battlefield 3;2011.0;La undécima entrega de la saga Battlefield, secuela directa de Battlefield 2. Lucha en París, Teherán y Nueva York mientras los marines de los EE. UU. intentan evitar que un ultranacionalista ruso detone un dispositivo nuclear.;https://media.rawg.io/media/games/8bd/8bda6d876f3e241c6024022299553efd.jpg;Action, Shooter;4.08;Electronic Arts DICE;Electronic Arts;86.0;battlefield-3
Battlefield 4;2013.0;Vive todo lo que puede ocurrirle a un soldado, un vehículo y el entorno al mismo tiempo. Battlefield 4 incluye una dramática campaña individual y batallas multijugador masivas de 64 jugadores con entornos completamente destructibles.;https://media.rawg.io/media/games/ac7/ac7b8327343da12c971cfc418f390a11.jpg;Shooter;3.95;Electronic Arts, Electronic Arts DICE;Electronic Arts;81.0;battlefield-4
Battlefield 6;2025.0;Prepárate para la experiencia definitiva de guerra total. Combate en batallas de alta intensidad ambientadas en 2042, en un mundo al borde del colapso, con partidas multijugador de hasta 128 jugadores.;https://media.rawg.io/media/games/dcc/dcc38d78ab1f1a90fdc4ba1bea3a73ff.jpg;Action, Shooter;4.21;Battlefield Studios;Electronic Arts;;battlefield-6-2
Battlefield: Bad Company 2;2010.0;Secuela de Bad Company y novena entrega de la saga Battlefield. Un grupo de mercenarios persigue un arma de destrucción masiva soviética de la Segunda Guerra Mundial por varios países, en una campaña global con entornos destructibles.;https://media.rawg.io/media/games/e8f/e8f923180ecb9614ec564a15937cfd9e.jpg;Action, Shooter;4.13;Electronic Arts, Electronic Arts DICE, Digital Illusions CE;Electronic Arts;87.0;battlefield-bad-company-2
TRANSCEND - EARLY ACCESS;2017.0;ESTA ES UNA VERSIÓN DE ACCESO ANTICIPADO. La versión actual es una DEMO que explora las mecánicas iniciales del juego.;https://media.rawg.io/media/screenshots/454/454233df5b36731acabd76dbf1f618ff.jpg;Action, Adventure, RPG, Casual, Indie;0.0;Ynor;Ynor;;transcend-early-access
Beyond: Two Souls;2013.0;A menudo llamado una 'película interactiva', Beyond: Two Souls sigue a Jodie Holmes, una mujer vinculada desde su nacimiento a una entidad invisible llamada Aiden. Juega en capítulos no lineales que abarcan 15 años de su vida, con decisiones que afectan al desenlace.;https://media.rawg.io/media/games/07a/07a74470a2618fd71945db0619602baf.jpg;Action, Adventure;3.81;Quantic Dream;Sony Computer Entertainment, Quantic Dream;73.0;beyond-two-souls
Blasphemous II;2023.0;El Penitente despierta una vez más en una lucha interminable. Blasphemous 2 amplía el original con nuevas armas, habilidades y un laberíntico mundo interconectado de brutal acción y plataformas en píxel art.;https://media.rawg.io/media/games/73b/73bcfec00beec38a3d3527db4f9b8c53.jpg;Action, Adventure, Indie, Platformer;4.16;The Game Kitchen;Team17 Digital;;blasphemous-2
Blur;2010.0;¡Carreras con potenciadores al poder! Ve más allá de las carreras convencionales y entra en el mundo de Blur. Compite contra hasta 19 rivales simultáneamente usando coches reales con explosivos potenciadores en una experiencia de carreras espectacular.;https://media.rawg.io/media/games/f45/f454179c3da178c785761db9e593949b.jpg;Racing, Arcade;3.93;Bizarre Creations, Fireproof Studios;Activision Blizzard;81.0;blur
Borderlands 2;2012.0;Secuela del cooperativo FPS-RPG Borderlands. Un nuevo equipo de Cazadores de Bóvedas se enfrenta a Handsome Jack, el narcisista villano de la Corporación Hyperion, en el peligroso y hermoso mundo de Pandora.;https://media.rawg.io/media/games/49c/49c3dfa4ce2f6f140cc4825868e858cb.jpg;Action, Shooter, RPG;4.01;Aspyr Media, 2K, Gearbox Software, Sony Computer Entertainment America;2K Games, Aspyr;89.0;borderlands-2
Borderlands;2009.0;Pandora es un planeta peligroso, por lo que tiene sentido que los más fuertes se unan para buscar la legendaria Bóveda. Elige entre cuatro Cazadores de Bóvedas en este cooperativo FPS-RPG con millones de armas generadas proceduralmente.;https://media.rawg.io/media/games/c6b/c6bfece1daf8d06bc0a60632ac78e5bf.jpg;Action, Shooter, RPG;3.82;2K, Gearbox Software;2K Games;81.0;borderlands
Borderlands: The Pre-Sequel;2014.0;Ambientado entre Borderlands y Borderlands 2, The Pre-Sequel tiene lugar en la luna de Pandora, Elpis, y sigue el ascenso al poder de Handsome Jack a través de cuatro nuevos personajes jugables.;https://media.rawg.io/media/games/530/5302dd22a190e664531236ca724e8726.jpg;Action, Shooter, RPG;3.56;Aspyr Media, 2K, Gearbox Software, 2K Australia;2K Games, Aspyr;75.0;borderlands-the-pre-sequel
Bramble: The Mountain King;2023.0;Un oscuro cuento de hadas escandinavo. Guía al joven Olle por un traicionero mundo de antiguo folclore nórdico, enfrentando terroríficas criaturas mientras busca a su hermana desaparecida en esta atmosférica aventura de horror.;https://media.rawg.io/media/games/d1f/d1f058e4c29abbfbb2ce16c08f626e62.jpg;Adventure, Indie;4.27;Dimfrost, Dimfrost Studio;Merge Games, Maximum Entertainment, Dimfrost;;bramble-the-mountain-king
Brothers: A Tale of Two Sons Remake;2024.0;Guía a dos hermanos en un épico viaje de cuento de hadas lleno de descubrimiento, pérdida y aventura. Controla a ambos hermanos simultáneamente con un solo mando en este emotivo remake de puzles y aventuras cooperativas.;https://media.rawg.io/media/games/dae/dae322f5d859b49835f4259d0ea764b7.jpg;Adventure, Casual;3.78;Avantgarden;505 Games;;brothers-a-tale-of-two-sons-remake
Call of Duty: Modern Warfare II;2022.0;Bienvenido a la nueva era de Call of Duty. Modern Warfare II lleva a los jugadores a una campaña global, intenso multijugador y el regreso de Operaciones Especiales, con el Task Force 141 en una operación de alto riesgo.;https://media.rawg.io/media/games/1af/1af8edc7491c6d9d0776fc423d93548d.jpg;Action, Shooter;3.82;Raven Software, Treyarch, Infinity Ward, Beenox, Sledgehammer Games, High Moon Studios, Toys for Bob, Activision Shanghai, Demonware, Demonware Softwarehaus;Activision Blizzard, Activision Value Publishing;;call-of-duty-modern-warfare-ii
Call of Duty: Modern Warfare III;2023.0;En la secuela directa de Modern Warfare II, el Task Force 141 se enfrenta a la amenaza definitiva: un Makarov resucitado. Adáptate o muere en una guerra contra un adversario implacable en modos campaña, multijugador y Zombis.;https://media.rawg.io/media/games/b17/b17ce7ab3187cc3f42d263d9511adac0.jpg;Action, Shooter;3.15;Raven Software, Treyarch, Infinity Ward, Beenox, Sledgehammer Games, High Moon Studios, Demonware;Activision Blizzard, Activision Value Publishing;;call-of-duty-modern-warfare-iii
Call of Duty: Advanced Warfare;2014.0;Call of Duty: Advanced Warfare es un FPS desarrollado por Sledgehammer Games, ambientado en un futuro cercano. Una poderosa corporación militar desafía a los gobiernos del mundo usando avanzada tecnología de exoesqueleto.;https://media.rawg.io/media/games/e05/e053aae547e0978ad90280a1a3d8f177.jpg;Action, Shooter;3.47;Raven Software, Sledgehammer Games, High Moon Studios;Activision Blizzard, Noviy Disk;78.0;call-of-duty-advanced-warfare
Call of Duty: Black Ops 6;2024.0;Black Ops 6 lleva a los jugadores a un nuevo punto de la historia con una campaña de operaciones encubiertas. Incluye el Omnimovement (movimiento omnidireccional en 360°), una narrativa en evolución y el clásico multijugador de Black Ops.;https://media.rawg.io/media/games/e89/e89f9a409bce5d36873f65ea9659c36e.jpg;Action, Shooter;3.86;Raven Software, Treyarch, Infinity Ward, Beenox, Sledgehammer Games, High Moon Studios, Activision Shanghai, Demonware;Activision Blizzard, Activison, Activision Value Publishing;;call-of-duty-black-ops-6
Call of Duty: Black Ops;2010.0;Call of Duty: Black Ops es un shooter en primera persona ambientado durante la Guerra Fría. Controla a Alex Mason, un operativo de la CIA que desvela una conspiración relacionada con emisiones numéricas y un agente nervioso letal.;https://media.rawg.io/media/games/410/41033a495ce8f7fd4b0934bdb975f12a.jpg;Action, Shooter;4.05;Raven Software, Treyarch, n-Space;Square Enix, Activision Blizzard, Activison;81.0;call-of-duty-black-ops
Call of Duty: Black Ops II;2012.0;Secuela directa de Black Ops. Ambientado en dos épocas —la Guerra Fría de los 80 y el año 2025— Black Ops II presenta una narrativa ramificada con múltiples finales según las decisiones del jugador.;https://media.rawg.io/media/games/8ee/8eed88e297441ef9202b5d1d35d7d86f.jpg;Action, Shooter;3.96;Treyarch;Activison;74.0;cod-black-ops-ii
Call of Duty: Ghosts;2013.0;La décima entrega principal de Call of Duty. Una década después de un devastador ataque a Estados Unidos, un grupo de soldados de élite conocido como los Ghosts lucha contra una poderosa federación sudamericana en una batalla por la supervivencia nacional.;https://media.rawg.io/media/games/eb2/eb24800b4491701eca481e7c990bce4a.jpg;Action, Shooter;3.16;Raven Software, Infinity Ward, Neversoft Entertainment;Activison;68.0;call-of-duty-ghosts
Call of Duty: Modern Warfare 3;2011.0;La octava entrega de Call of Duty, secuela directa de Modern Warfare 2. La Tercera Guerra Mundial de Makarov se extiende por Europa y Oriente Medio mientras el Task Force 141 corre para detenerlo en un clímax global.;https://media.rawg.io/media/games/e9c/e9c042d14515eb3ff7cb4db9fe78e435.jpg;Action, Shooter;3.79;Aspyr Media, Raven Software, Treyarch, Infinity Ward, Sledgehammer Games, Neversoft Entertainment;Aspyr, Activision Blizzard, Activison, ak tronic Software & Services;85.0;call-of-duty-modern-warfare-3
Castlevania: Lords of Shadow – Ultimate Edition;2013.0;Es el fin de los días y poderes impíos aislan la Tierra. Como Gabriel Belmont, lucha entre los restos de un mundo roto para encontrar la Máscara de Dios, un artefacto con el poder de devolver la vida a los muertos.;https://media.rawg.io/media/screenshots/fa9/fa98d87e1aaf45cb7c9133be10d62bd7.jpg;Action, Adventure;3.92;Kojima Productions, Mercury Steam Entertainment;Konami;81.0;castlevania-lords-of-shadow-ultimate-edition
Castlevania: Lords of Shadow 2;2014.0;Castlevania: Lords of Shadow 2 es la continuación directa del primer juego. Drácula regresa en la era moderna, despojado de sus poderes y perseguido por la Muerte, buscando poner fin a su sufrimiento inmortal destruyendo a Satán.;https://media.rawg.io/media/games/df1/df1214c2454b88285fc78fc36bc12cde.jpg;Action, Adventure;3.77;Mercury Steam Entertainment;Konami;58.0;castlevania-lords-of-shadow-2
Cities: Skylines;2015.0;Cities: Skylines es un juego clásico de construcción de ciudades que permite a los jugadores experimentar la emoción de crear y gestionar una ciudad real. Equilibra la infraestructura, el tráfico, los servicios y la felicidad de los ciudadanos mientras tu metrópolis crece.;https://media.rawg.io/media/games/25c/25c4776ab5723d5d735d8bf617ca12d9.jpg;Strategy, Simulation;4.12;Colossal Order;Paradox Interactive;85.0;cities-skylines
Clair Obscur: Expedition 33;2025.0;Una vez al año, la Pintora despierta y pinta en su monolito un número maldito: todas las personas de esa edad dejan de existir. La Expedición 33 parte a encontrar y matar a la Pintora antes de que pinte el número 33.;https://media.rawg.io/media/games/466/4667f17fdee9ebbcea2049e54f8e2b96.jpg;RPG;4.47;Sundial Interactive, Sandfall Interactive;Kepler Interactive;;clair-obscur-expedition-33
Command & Conquer: Generals;2003.0;Sin sinopsis disponible.;https://media.rawg.io/media/games/b8f/b8fc70ec8d35ae13f9609e1b118aa33c.jpg;Strategy;4.49;Electronic Arts Pacific;Electronic Arts;;command-conquer-generals
Commandos: Origins;2025.0;Sé testigo del comienzo de la legendaria fuerza de élite de la Segunda Guerra Mundial en Commandos: Origins. Una precuela que revela cómo se reunió el icónico equipo antes de sus misiones más famosas.;https://media.rawg.io/media/games/bc7/bc78dd0c78a8f45845468d5dfcf4a6d8.jpg;Strategy;0.0;Claymore Games, Claymore Game Studios;Kalypso Media;;commandos-origins
Conflict: Desert Storm 2 - Back to Baghdad;2003.0;Conflict: Desert Storm II: De vuelta a Bagdad. Lidera un escuadrón de cuatro soldados de fuerzas especiales por Irak mientras intentan evitar que las fuerzas de Saddam Hussein lancen un ataque con armas químicas.;https://media.rawg.io/media/screenshots/424/424f6963412d3e9ca215d5d48f1e90ec.jpg;Action, Shooter;3.88;Pivotal Games;SCi Entertainment Group;69.0;conflict-desert-storm-2-back-to-baghdad
Conflict: Global Terror;2005.0;Sin sinopsis disponible.;https://media.rawg.io/media/screenshots/b75/b759b6c216dd90028077fe4919b11c46.jpg;Action, Shooter;0.0;Pivotal Games;1C Company, Mastertronic, SCi Games;;conflict-global-terror
Coral Island;2022.0;Coral Island es una relajada y vibrante reinvención de los juegos de simulación de granja. Sé quien quieras, cultiva la tierra, hazte amigo de los isleños, enamórate y ayuda a restaurar el arrecife de coral de la isla.;https://media.rawg.io/media/games/196/196381a3afc69bd73d4374fdbf5ef774.jpg;Adventure, RPG, Strategy, Simulation, Casual, Indie;4.14;Stairway Games;Humble Games;;coral-island
Core Keeper;2024.0;Atraído por una misteriosa reliquia, despiertas en un antiguo mundo subterráneo. Extrae recursos, craftea objetos, construye una base y lucha contra jefes desafiantes en este sandbox de supervivencia cenital, solo o con hasta ocho jugadores.;https://media.rawg.io/media/games/8d9/8d980d350e5b4661bba3a15afa7b04da.jpg;Action, Adventure, RPG, Casual, Indie;3.94;Pugstorm;Sold Out, Fireshine Games;;core-keeper
Craft The World;2014.0;Craft The World es un singular juego de estrategia sandbox, mezcla de Dungeon Keeper, Terraria y Dwarf Fortress. Guía a una tribu de enanos, reúne recursos, construye una fortaleza y rechaza los ataques nocturnos de monstruos.;https://media.rawg.io/media/screenshots/cfe/cfed2e5b127ab7fce676be22b247ab40.jpg;RPG, Strategy, Simulation, Indie;3.86;Dekovir Entertainment;Dekovir Entertainment, Black Maple Games;;craft-the-world
Crash Bandicoot 4: It's About Time;2020.0;Neo Cortex y N. Tropy han vuelto, lanzando un asalto total no solo a una, sino a todas las dimensiones. Crash y Coco emprenden una épica aventura a través del tiempo y el espacio con nuevas máscaras que otorgan poderes que doblan la realidad.;https://media.rawg.io/media/games/54a/54a14917b3298bbaacdf9873c3af7229.jpg;Action, Platformer;3.94;Beenox, Toys for Bob, Iron Galaxy Studios, Activision Shanghai, Hardsuit Labs;Activision Blizzard, Activision Value Publishing;84.0;crash-bandicoot-4-its-about-time
Crisis Core: Final Fantasy VII Reunion;2022.0;Una remasterización completa de Crisis Core: FFVII, lanzado originalmente en 2007. Sigue al operativo del SOLDIER Zack Fair y los eventos que precedieron a Final Fantasy VII, incluidos sus fatídicos encuentros con Cloud y Sephiroth.;https://media.rawg.io/media/games/f6c/f6cfffdb246351c35b6f07a8bcf6e748.jpg;Action, Adventure, RPG;3.9;Square Enix, Tose Co;Square Enix;;crisis-core-final-fantasy-vii-reunion
The Kings' Crusade;2010.0;Las casas reales de Europa lanzan una nueva campaña militar para reconquistar Tierra Santa. Lidera a los cruzados cristianos o a las fuerzas sarracenas de Saladino en este juego de estrategia en tiempo real ambientado durante las Cruzadas.;https://media.rawg.io/media/screenshots/da2/da2a7d34431fe85f6ecfab9e27b5d686.jpg;Strategy;1.67;;Paradox Interactive;71.0;the-kings-crusade
Crysis Warhead;2008.0;Una expansión independiente del Crysis original que sigue la historia del sargento Sykes durante la misma invasión alienígena. Incluye niveles más amplios y abiertos, acción más explosiva y el mismo sistema de Nanotraje.;https://media.rawg.io/media/games/e34/e344d4b45f3d393d44cbed087279379c.jpg;Action, Shooter;3.81;Crytek;Electronic Arts;84.0;crysis-warhead
Crysis 2;2011.0;La secuela de Crysis está ambientada tres años después en una devastada Nueva York. Los alienígenas Ceph han regresado y debes usar el avanzado Nanotraje 2 para contraatacar en las ruinas urbanas.;https://media.rawg.io/media/games/899/899ce332d07c3fc1dd924bf828d1f484.jpg;Action, Shooter;3.85;Electronic Arts, Crytek;Electronic Arts;85.0;crysis-2
Crysis 3;2013.0;Ambientada en una Nueva York futurista encerrada en una enorme cúpula, Prophet caza al Alfa Ceph mientras expone una conspiración. Incluye icónicos entornos abiertos, un arco compuesto y el legendario Nanotraje.;https://media.rawg.io/media/games/1c6/1c61ef4ce04bce876841118580b03ccb.jpg;Action, Shooter, Adventure, Strategy;3.7;Electronic Arts, Crytek;Electronic Arts;76.0;crysis-3
Crysis Warhead;2008.0;Una expansión independiente del Crysis original que sigue la historia del sargento Sykes durante la misma invasión alienígena, con niveles más amplios y acción más explosiva.;https://media.rawg.io/media/games/e34/e344d4b45f3d393d44cbed087279379c.jpg;Action, Shooter;3.81;Crytek;Electronic Arts;84.0;crysis-warhead
Cult of the Lamb;2022.0;Funda tu propio culto en una tierra de falsos profetas. Aventúrate en mazmorras diversas y misteriosas, derrota enemigos y reúne recursos, luego regresa para construir y gestionar tu comuna de devotos seguidores del bosque.;https://media.rawg.io/media/games/ab8/ab8217a1fe2ced388a388722734e6d16.jpg;Action, Adventure, Strategy, Indie;4.1;Massive Monster;Devolver Digital;;cult-of-the-lamb
Cuphead;2017.0;Un plataformas de acción 2D dibujado a mano con estética de dibujos animados de los años 30. Enfrenta implacables combates contra jefes con una dificultad brutal, música de jazz e inspiración en los estudios Fleischer.;https://media.rawg.io/media/games/226/2262cea0b385db6cf399f4be831603b0.jpg;Action, Indie, Platformer;4.37;Studio MDHR;StudioMDHR Entertainment, Studio MDHR;87.0;cuphead
