Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Backdrop_URL;Generos;Puntuacion_TMDB;Temporadas;Episodios;URL_TMDB
Caer en Tentacion;Caer en tentación;TMDB;2017 - 2018;;https://image.tmdb.org/t/p/original/2E8bvsc30vIglIAWuK3TW0hqdJ3.jpg;https://image.tmdb.org/t/p/original/8BH6d9B6flO2gOeEjWaE6UfmJ1c.jpg;Drama, Telenovela;7.773;1;103;https://www.themoviedb.org/tv/82515
Café, con aroma de mujer;Café con aroma de mujer;TMDB;2021 - 2021;Como todos los años, Gaviota y su mamá llegan a la Hacienda Casablanca a recoger el café de la segunda cosecha del año, pero este octubre tienen esperanza de que sea el último, pues a partir de ahora serán dueñas de su propia tierra. Sin embargo, el destino tiene otros planes.;https://image.tmdb.org/t/p/original/ztyJqTdS7RApGgl6ZXmFdGZX3g0.jpg;https://image.tmdb.org/t/p/original/nlor5UKEkOuARd6YcltbeVyOgUz.jpg;Telenovela;7.303;1;92;https://www.themoviedb.org/tv/124124
Calendario;Calendario;TMDB;2022 - 2022;"Una maestra joven de español-Literatura, llamada Amalia (Clarita García), en franco antagonismo con un grupo de muchachos del 9no grado de una secundaria aborda los conflictos con un método muy de ella; luego están los padres y familiares, así que lo fundamental está en la interacción entre esa profesora y sus alumnos. Había sido una niña con problemas de conducta, y gracias a la constancia de su maestra, fue “rescatada”. En agradecimiento, estudia magisterio y regresa a la misma escuela para enfrentar conflictos semejantes a los de su propio pasado. Y en el peor grupo, el 9no 3.";https://image.tmdb.org/t/p/original/75m3Q2zlyPjQTkp2TwGB3uQb3SK.jpg;;;0.0;1;13;https://www.themoviedb.org/tv/195089
Doctor Milagro;Doctor Alí;TMDB;2019 - 2021;El joven Ali Vefa, abandonado de niño por su padre, logra convertirse en médico y se une al equipo de cirugía de un hospital. Pero sus relaciones interpersonales y profesionales se ven afectadas por el síndrome del sabio.;https://image.tmdb.org/t/p/original/yAUXj0sHwsWEmIMWEUD0oBzLRIM.jpg;https://image.tmdb.org/t/p/original/j9orEeA4twmIEQtHdaAW0L1L7nE.jpg;Drama;8.063;2;64;https://www.themoviedb.org/tv/92967
Dulce Venganza;Dulce venganza;TMDB;2016 - 2016;Pelin tiene una vida perfecta: es bella, inteligente, tiene un excelente trabajo y está a punto de casarse con el hombre de sus sueños. Pero cuando Tolga, su novio, la abandona en el altar, todo parece derrumbarse. Un día, por la calle, una mujer le dice que su mala suerte en el amor se debe a que ella hizo daño a otra persona en el pasado, y que hasta obtener su perdón no logrará ser feliz. Haciendo un esfuerzo, Pelin recuerda a Tankut, un compañero de facultad tímido y poco agradaciado que estaba enamorado de ella, y del cual Pelin se aprovechaba para obtener favores y regalos. Tras ser rechazado cruelmente por ella, Tankut decidió abandonar la universidad.;https://image.tmdb.org/t/p/original/aJ0NZpjcMALBxhttC2SVcn0IoI4.jpg;https://image.tmdb.org/t/p/original/vzUnyumQoNe92tAejutt4pBOwva.jpg;Comedia, Drama;8.2;1;30;https://www.themoviedb.org/tv/66071
El Capo;El Capo;TMDB;2009 - 2014;"La historia cuenta la vida de Pedro Pablo León Jaramillo, un gran capo de la mafia del narcotráfico. Relata cómo asciende desde los barrios más humildes de Colombia hasta las negras cumbres del mundo criminal.  El personaje central no es en realidad ningún capo en particular, sino una mezcla de las principales líneas de los capos más conocidos de la historia de los carteles de Colombia; en si es un capo ficticio. Las grandes líneas de la historia son: la caza y captura del Capo, su detención en una cárcel en la que cuenta con todos los medios para seguir delinquiendo desde ella y para preparar su fuga, su supuesta muerte primero y su acribillamiento finalmente. Alrededor de Pedro Pablo León Jaramillo gira toda una galaxia de familiares, amigos, enemigos y cómplices, que muestran cómo todos terminan pagando de diversas maneras las consecuencias del contacto con el narcotráfico; que con sus tentáculos se infiltra en todas las capas de la sociedad y en todas las instituciones del poder ejecutivo, judicial, legislativo, militar, político, periodístico y narcótico, etcétera.";https://image.tmdb.org/t/p/original/hTwfFidPtRU3BUH8mK90jWyPyBr.jpg;https://image.tmdb.org/t/p/original/9bdNwt53JFU1b6oor8eDipNO79i.jpg;Crimen, Drama;7.687;3;226;https://www.themoviedb.org/tv/31268
El Cartel de los Sapos;El Cartel de los Sapos;TMDB;2008 - 2010;"La ambición, la codicia, el miedo, la traición y el amor, conjugados, pueden convertir al ""sencillo"" negocio del narcotráfico en un verdadero y peligroso infierno.";https://image.tmdb.org/t/p/original/cSvzG2B2uafu5BoP5nt0OvrVrQG.jpg;https://image.tmdb.org/t/p/original/4jTSmEGdZ77A2dP6Y08gwo52LuF.jpg;Acción, Drama;7.5;2;107;https://www.themoviedb.org/tv/7458
El Chapo;El Chapo;TMDB;2017 - 2018;Una mirada a la vida del capo de la droga notorio, El Chapo, desde sus primeros días en la década de 1980 que trabajan para el Cártel de Guadalajara, a su llegada al poder de durante los años 90 y su caída final en 2016.;https://image.tmdb.org/t/p/original/2ClXk4PoOGmkk676y4q6T26GJOb.jpg;https://image.tmdb.org/t/p/original/4kp7ZwgminnWqgFwO5QEiWS5BNa.jpg;Drama, Crimen;7.533;3;32;https://www.themoviedb.org/tv/71411
El Chema;El Chema;TMDB;2016 - 2017;Sigue la épica transformación de un joven y astuto traficante de drogas que se convirtió en uno de los líderes del narcotráfico más infames del mundo.;https://image.tmdb.org/t/p/original/wuA7gcwhDMbZ4Y1lscXRrgmaJIi.jpg;https://image.tmdb.org/t/p/original/ekPKyVT9oMudeVukTCbJuH200TW.jpg;Crimen, Drama;7.672;2;85;https://www.themoviedb.org/tv/68734
El Color del Pecado;Da Cor do Pecado;TMDB;2004 - 2004;;https://image.tmdb.org/t/p/original/enXaNoI9K6bsBQpQNTXMP57yULF.jpg;https://image.tmdb.org/t/p/original/cLftreXClWhlJnZxgoRiXYB8vaC.jpg;Comedia, Drama, Telenovela;6.7;1;185;https://www.themoviedb.org/tv/45816
El Conde Amor y Honor;El Conde: Amor y Honor;TMDB;2024 - 2024;;https://image.tmdb.org/t/p/original/lwcTD8hRx5Ch4sAmjNHmWigkaND.jpg;https://image.tmdb.org/t/p/original/1rGfdcrJOzqyBGo0HUa740L2GhX.jpg;Drama, Acción;8.1;1;80;https://www.themoviedb.org/tv/247174
El extraño retorno de Diana Salazar;El extraño retorno de Diana Salazar;TMDB;1988 - 1989;;https://image.tmdb.org/t/p/original/45ZLhHKvywU72Jd2W5G8CJYYyDu.jpg;https://image.tmdb.org/t/p/original/cP2hDMm2doViZIuUh8NAPqdMbyE.jpg;Drama, Telenovela;7.525;1;196;https://www.themoviedb.org/tv/19918
El Hombre Equivocado;El hombre equivocado;TMDB;2020 - 2020;Özgür Atasoy es un joven adinerado que posee un restaurante y vive una vida algo alocada, ya que ha perdido la fe en el amor y en las mujeres. Por su parte, Ezgi İnal es una chica romántica que, tras haber sido traicionada por su último novio Soner, se harta de que sus relaciones no salgan bien y está decidida a conseguirlo y casarse. Así, al ver que no tiene éxito en sus conquistas, esta recurre a Özgür, su vecino, para que la oriente y le dé técnicas con el fin de conseguir al hombre que le gusta y que luego no la deje. A cambio, ella se compromete a acompañarle a la boda de su hermana fingiendo ser su novia, para ayudar a Özgür a deshacerse de las molestas peticiones de su madre, a quien le encantaría verlo casado y con hijos.;https://image.tmdb.org/t/p/original/2N3KyU8FFa4NadLbtMmhE0pMlfL.jpg;https://image.tmdb.org/t/p/original/wwtDGWtD2phaVgtejctB6P5uurr.jpg;Comedia;7.965;1;14;https://www.themoviedb.org/tv/105052
El Juego De Mi Destino;El juego de mi destino;TMDB;2021 - 2022;Asiye, que lucha con sus dos hijos pequeños a una edad temprana, se dedica a la felicidad de sus hijos a pesar de todas sus privaciones, y es tanto una madre como un padre para ellos, su vida da un vuelco con el desastre que le sucedió. hija Narciso, a quien ella evita de sus ojos. Después de eso, el camino de Asiyah se cruza con Mahir, un extraño desconocido que los ayuda, quien se ve arrastrado en un viaje irreversible con sus hijos en aras de proteger a su hija. Mahir, quien los ayuda con sentimientos humanitarios y los lleva a su automóvil, aún no sabe que cambiará el destino tanto de él como de Asiye y sus hijos con esta decisión que ha tomado. Para Asiye, quien se refugió en la Mansión Demirhan gracias a Mahir, esto no es una salvación, sino el comienzo de una guerra completamente nueva.;https://image.tmdb.org/t/p/original/l4AxEMRyaGWDI6ZqMNiyulZRYqz.jpg;https://image.tmdb.org/t/p/original/pu6NbWM8iiQvN5uVFzCVw2IXWw9.jpg;Drama;6.6;1;26;https://www.themoviedb.org/tv/152326
El Otro Lado del Paraiso;El Otro Lado del Paraíso;TMDB;2017 - 2018;La trama tiene dos fases y comienza en Tocantins. La primera fase, establecida en 2007, presenta a la profesora Clara, una inocente joven huérfana que vive con su abuelo Josafá dueño de un bar, en Jalapão. Ella conoce a Gael, un heredero de una familia en decadencia de Palmas, y termina enamorándose de él. Sin embargo, Clara sufre de su carácter explosivo y extremadamente sexista y termina siendo aconsejada por Sophia.;https://image.tmdb.org/t/p/original/ig6uY17kaD25ndkBOPEv2aU7wcK.jpg;https://image.tmdb.org/t/p/original/de2jfUW4E3X3jl8Tf62BgRPDMHd.jpg;Telenovela, Drama, Misterio;6.192;1;173;https://www.themoviedb.org/tv/74615
El Sultan;El Sultan;TMDB;2011 - 2013;Tras la muerte de su padre, Suleiman se va del lado de su esposa e hijo y parte hacia Constantinopla, actual Estambul, para ser nombrado Sultán. Suleiman asciende al poder y llegará a construir uno de los imperios más grandes y poderosos de su época. No pasa mucho tiempo hasta que Suleiman cae locamente enamorado de Alexandra la Rossa, una hermosa joven cristiana que fue vendida al palacio de Crimea. Alexandra se casa con Suleimán y juntos comienzan su largo reinado. Impulsada por la venganza y un deseo insaciable de poder, Alexandra manipula sin piedad a Suleiman para que haga cumplir sus deseos.;https://image.tmdb.org/t/p/original/3G6oMMpBboyb0mQZwaxym7hGDAQ.jpg;https://image.tmdb.org/t/p/original/r3MaA4AQYehLKzlguwpBEYYe4NT.jpg;Drama;9.229;4;134;https://www.themoviedb.org/tv/96157
Ellas Soy Yo Gloria Trevi;Gloria Trevi: Ellas soy yo;TMDB;2023 - 2023;Esta serie biográfica revela el enigmático viaje de Gloria Trevi, una mujer que desafió las convenciones, venció la adversidad y encontró la redención a través de su espíritu inquebrantable.;https://image.tmdb.org/t/p/original/sWbTwoCTwa5VMxLXaae9qbkeOro.jpg;https://image.tmdb.org/t/p/original/eyXpMDuUuBlgQEGx3U1mDoC0o3J.jpg;Drama, Documental;7.8;1;50;https://www.themoviedb.org/tv/231952
En Todas Partes Tu;En todas partes, tú;TMDB;2019 - 2019;Selin es una chica con ambición que busca una casa para independizarse, mientras que Demir es un empresario que ha pasado un año en el extranjero y vuelve a Estambul con la idea de vivir en la casa en la que creció. Tras encontrar la casa ideal, ambos deciden comprarla, pero ambos descubren que cada uno de ellos posee la mitad de la propiedad, por lo que estarán obligados a convivir bajo el mismo techo. La situación se vuelve todavía más complicada cuando Selin descubre que Demir es además su nuevo jefe.;https://image.tmdb.org/t/p/original/9I0gnr2qlyrhNppmToN9DAyXWYF.jpg;https://image.tmdb.org/t/p/original/ffzhUpoAh6zqgzSTwSzfxnALzzs.jpg;Comedia;7.875;1;23;https://www.themoviedb.org/tv/90302
ENTREGA;ENTREGA;TMDB;2019 - 2019;72 capitulos. Manuel es un joven profesor de Historia de Cuba en la enseñanza preuniversitaria. Durante dos años no ejerce el magisterio por discrepancias de los superiores con sus métodos de impartir la asignatura. Entonces se dedicó a trabajar junto a su padre en el negocio del cultivo y comercialización de flores. Gracias a ello tiene un estatus económico muy favorable. Sin embargo, aún siente la nostalgia por su profesión, pese a las críticas y presiones de su pareja.  La invitación de un viejo amigo a formar parte del claustro de profesores de un preuniversitario motivó a Manuel a volver a las aulas y a enfrentarse a un grupo de adolescentes difíciles, desinteresados e inmaduros.  Con el fin de despertar en ellos el amor a la historia, la patria, la cultura y de inculcarles valores morales, crea su propio método de enseñanza, no aceptado por otros profesores más tradicionales, quienes prefieren aferrarse a las normas establecidas y convivir con el desinterés de los jóvenes.;;;Drama;0.0;1;1;https://www.themoviedb.org/tv/281904
Gonulcelen;Gonulcelen;TMDB;2010 - 2011;Hasret, una vendedora ambulante de Estambul y el músico Murat se conocen en una boda en la calle mientras ella cantaba. Una apuesta hace que Murat quiera convertirla en una celebridad y para ella es la oportunidad de salir de la pobreza.;https://image.tmdb.org/t/p/original/xcSAoTuWfDdg3talkwJynr4TDHS.jpg;https://image.tmdb.org/t/p/original/lQWu7cV6N8ysaK0PgqcgAXJYX20.jpg;Drama;8.067;2;56;https://www.themoviedb.org/tv/49767
Gulcemal;Amor Imposible;TMDB;2023 - 2023;Zafer se ve obligada a abandonar al amor de su vida para casarse con Saim, con quien engendra dos hijos, Gülcemal y Gülendam, pero cuando su amado Mustafá regresa, ellos deciden dejarlo todo atrás e iniciar su vida juntos. Saim, incapaz de soportar la traición se suicida, en respuesta, el pequeño Gülcemal asesina al hombre que le robó el amor de su madre y ella lo maldice. Ese niño, condenado al desamor, se convierte en un alma despiadada que regresa para vengarse, pero no es el único, porque Zafer usará a Deva, la hija de su único gran amor, para hacerle aún más daño, sin contar que Firuse, la madre de la joven, ha vuelto de la muerte para llevarse a su hija.;https://image.tmdb.org/t/p/original/cSsTRvBg566n5RidSgnzHvXdhDo.jpg;https://image.tmdb.org/t/p/original/uViff0bzXy95HK1fvi36UogLTNx.jpg;Drama;8.26;1;13;https://www.themoviedb.org/tv/224054
Habitación 309;Habitacion 309;TMDB;2016 - 2017;En un vídeo póstumo, un millonario anciano le habla a toda su familia. En este vídeo declara que el primer nieto que se case y tenga un hijo, obtendrá toda su parte de la compañía familiar. Desesperadas por obtener esa fortuna, las madres se apresuran a establecer citas a ciegas para sus hijos.;https://image.tmdb.org/t/p/original/jYOcAeNQgSj7gff73Lmc2Pdd1QU.jpg;https://image.tmdb.org/t/p/original/9s3W7nAPPhqlfM32z81uaujnavR.jpg;Drama, Comedia;6.595;2;65;https://www.themoviedb.org/tv/69306
Hakan, el protector;Hakan, el protector;TMDB;2018 - 2020;Hakan es un joven comerciante turco cuyo mundo se pone patas arriba cuando se entera de que está conectado a una orden antigua y secreta encargada de proteger Estambul. Hakan está muy lejos de ser un héroe, solo es un chico común en una ciudad donde Oriente se encuentra con Occidente y el pasado se encuentra con el presente. Pero Hakan pronto aprenderá que su ciudad natal está bajo la amenaza de los misteriosos y místicos Inmortales, y que su trabajo es detenerlos. Una tarea para la que quizá no esté preparado, cumplirá su destino como el último protector?;https://image.tmdb.org/t/p/original/1jMNF181PUdrCl1vHYIDVUSTP8c.jpg;https://image.tmdb.org/t/p/original/scrqQwSarTbq80oUdZrj7cbpscv.jpg;Acción, Ciencia ficción;7.206;4;32;https://www.themoviedb.org/tv/79026
Hayat Amor sin palabras;Hayat: Amor sin palabras;TMDB;2016 - 2017;Dos vidas completamente opuestas, una marcada por la amistad y el sacrificio y otra, por el dinero y la ambición, se unirán por el vínculo indestructible del amor. Son las de Hayat, una joven graduada universitaria desesperada por encontrar trabajo en Estambul, y la de Murat, heredero de un gran imperio textil.;https://image.tmdb.org/t/p/original/98SF66k5GOnE12MuLow6EWtbzdk.jpg;https://image.tmdb.org/t/p/original/nWNH4OTbiZTxqfPOgSYI2U17aCJ.jpg;Comedia, Drama;8.363;1;31;https://www.themoviedb.org/tv/67570
Hijas de la Luna;Hijas de la luna;TMDB;2018 - 2018;"Esta es la historia de cuatro hermanas nacidas en el mismo año y concebidas por el mismo padre; Juana Victoria, Juana Inés, Juana Bárbara y Juana Soledad.  En su lecho de muerte, Rosaura, la madre de Juana Victoria le confiesa a su hija el nombre de su verdadero padre; Juan Oropeza, un importante empresario hotelero. Tras su muerte, Juana Victoria se da la tarea de buscarlo y de descubrir que tiene otras tres hermanas. Al llegar a Mazatlán, Juana Victoria conoce entre las olas del mar a Sebastián y nace una fuerte atracción entre los dos.  Gracias a una huella de nacimiento con forma de media luna que Juana Victoria posee en su espalda baja, encuentra a su verdadero progenitor y se percata de que se ha enamorado de Sebastián, hijo de Juan, su medio hermano; primer varón nacido después sus cuatro hermanas.";https://image.tmdb.org/t/p/original/aDdAtBuiiL8S51qNezEcURcPooI.jpg;https://image.tmdb.org/t/p/original/bfmUoQdBHeemb62Nxadl2BTlEPu.jpg;Telenovela, Comedia, Drama;7.809;1;82;https://www.themoviedb.org/tv/79251
Imperio;Imperio;TMDB;2019 - 2025;Hace 15 años de la guerra liderada por Ertuğrul Gazi. Enfermo, viaja a Konya, dejando el mando a su hermano Dündar Bey. Dündar visita la fortaleza bizantina de Kulucahisar para renovar un pacto de paz y comercio. Osman, el hijo menor de Ertuğrul, lo acompaña y salva al gobernador Yorgopolos de un intento de asesinato. En la búsqueda de los culpables, muere su amigo Aybars, lo que lleva a Osman a jurar venganza. Su actitud valiente pero impulsiva causa tensiones con Dündar y su hermano Gündüz.;https://image.tmdb.org/t/p/original/6B4kOE4KYUVJfo2nXxp06p4Eivp.jpg;https://image.tmdb.org/t/p/original/puLaqdcTRwFxwv9S3PO6jA3ep7J.jpg;Bélica, Acción, Drama;7.91;6;194;https://www.themoviedb.org/tv/95603
India Una Historia De Amor;India, una historia de amor;TMDB;2009 - 2009;"La hija de una familia india rica y tradicional se enamora de un dalit y un hombre ""intocable"".";https://image.tmdb.org/t/p/original/9UolpjbYaLGEgalW9dx5QJPUGgV.jpg;https://image.tmdb.org/t/p/original/vYAkx4BQeIb9OkGCMZe5xL1RUeV.jpg;Telenovela, Drama;7.5;1;203;https://www.themoviedb.org/tv/7979
Invierno;Invierno;TMDB;2020 - 2020;Firuze y Ayaz son dos estudiantes que se enamoran. Atrapados entre el amor y el destino, no son libres de elegir lo que quieren. Primero, Ayaz desaparece, luego el padre de Firuze es incriminado y sentenciado por un crimen. Para estar juntos, Firuze y Ayaz tendrían que entregar a sus familias, a menos que puedan vencer las fuerzas que los mantienen separados.;https://image.tmdb.org/t/p/original/koZdwkUOQy8JsuGcrUdtQZAhakS.jpg;https://image.tmdb.org/t/p/original/eVo7j9XEV6ObPdS9sm7o5QmvApZ.jpg;Drama;7.4;1;10;https://www.themoviedb.org/tv/97296
Jaula Dorada;Jaula dorada;TMDB;2019 - 2020;Bedir sale de la cárcel tras quince años acusado de matar a Ahmet, el padre de Kenan, Okkes y Nefise. Durante estos años, la esposa de Ahmet, Kevsa y su hijo Okkes desarrollan una ira y sed de venganza hacia la familia de Bedir. Mientras tanto, Zülüf, hija de Bedir, y Kenan, hijo de Ahmet, se conocen en el museo donde trabaja ella e inmediatamente se sienten atraídos sin saber quiénes son sus familias. El hijo de Bedir, Müslüm, se fuga con Nefise porque están enamorados y saben que no pueden estar juntos. Okkes, cegado por la rabia, tira en un pozo a la hija de Bedir y esta es rescatada por Kenan. Para que haya paz, las dos familias, según la costumbre turca, novia por novia, acuerdan que sus hijos se casarán. Müslum y Nefise por un lado, y Kenan y Zülüf por otro.;https://image.tmdb.org/t/p/original/4Kn8bHj2fegODfII6RI15WSjreb.jpg;https://image.tmdb.org/t/p/original/mHxT3INpLU6dOBisHS1LOG3lldi.jpg;Drama;6.7;1;16;https://www.themoviedb.org/tv/95679
Kara Sevda (Amor Eterno);Amor eterno;TMDB;2015 - 2017;Kemal Soydere (Burak Özçivit) es hijo de una familia de clase media. En su último año en ingeniería de minas, una chica llamada Nihan Sezin (Neslihan Atagül) entra en su monótona vida. El amor parece imposible por la diferencia de clases entre ellos, pero se las arreglan para estar juntos. Hasta que un día, Kemal tiene que mudarse a Zoguldak para trabajar en una mina, dejando a Nihan en Estambul. Desconoce que su novia se casará obligada con Emir Kozcuoglu (Kaan Urgancioglu), un hombre enamorado de ella desde que eran niños. Kemal se aísla en su trabajo y pasan cinco años, hasta que un accidente en la mina hace que tome la decisión de regresar a Estambul para afrontar su pasado.;https://image.tmdb.org/t/p/original/al6OCoVRgdHhkGLVSvx4NPb4TJY.jpg;https://image.tmdb.org/t/p/original/n0lQ50CfQhB8TfB9hzpeBrJBZ6L.jpg;Drama;7.8;2;279;https://www.themoviedb.org/tv/65555
Kralice;Reina;TMDB;2023 - 2023;;https://image.tmdb.org/t/p/original/7U50lkVkJ2a27QkWNu3jL41nwU8.jpg;https://image.tmdb.org/t/p/original/kRzegG1sRPmzFOdQZf3P0HNd4Cd.jpg;Drama;6.3;1;11;https://www.themoviedb.org/tv/222799
Kurulus Osman;Imperio;TMDB;2019 - 2025;Hace 15 años de la guerra liderada por Ertuğrul Gazi. Enfermo, viaja a Konya, dejando el mando a su hermano Dündar Bey. Dündar visita la fortaleza bizantina de Kulucahisar para renovar un pacto de paz y comercio. Osman, el hijo menor de Ertuğrul, lo acompaña y salva al gobernador Yorgopolos de un intento de asesinato. En la búsqueda de los culpables, muere su amigo Aybars, lo que lleva a Osman a jurar venganza. Su actitud valiente pero impulsiva causa tensiones con Dündar y su hermano Gündüz.;https://image.tmdb.org/t/p/original/6B4kOE4KYUVJfo2nXxp06p4Eivp.jpg;https://image.tmdb.org/t/p/original/puLaqdcTRwFxwv9S3PO6jA3ep7J.jpg;Bélica, Acción, Drama;7.91;6;194;https://www.themoviedb.org/tv/95603
La Dama de Troya;La dama de troya;TMDB;2008 - 2008;Una mujer, después de permanecer oculta en un rancho, vuelve al pueblo llanero de Puerto Dorado para vengarse del miserable que la ultrajó, mató a su esposo y luego le disparó.;https://image.tmdb.org/t/p/original/xczlXRkWScVQ37dAeAFijpqXAHF.jpg;https://image.tmdb.org/t/p/original/ngt3rxpar6cAjM7K2ZpYkPWh2T3.jpg;Drama;4.4;1;138;https://www.themoviedb.org/tv/195381
La Desalmada;La desalmada;TMDB;2021 - 2021;Fernanda jura venganza después de que su esposo es asesinado y ella es violada en su noche de bodas. Con un mal recuerdo de esa noche traumática, Fernanda confunde a su verdadero amor, Rafael, con el hombre que arruinó su vida: el padre de Rafael.;https://image.tmdb.org/t/p/original/f7s3EsUtq0ZBH2pEhqxLa446IkQ.jpg;https://image.tmdb.org/t/p/original/RxfwuFrlZ2lCjYfYDWyS6ouK5J.jpg;Telenovela, Drama;7.6;1;90;https://www.themoviedb.org/tv/128794
